,IDDepCoor,NombreDepCoor
0,349570656a5f43ad87be7c05d6a4f12b,AreaEvaluaciónLlamadas
1,d6613fe9b9d3457aa52d55519f925702,AreaEvaluaciónLlamadas
2,0143422e28f94e02b2b6e9014215ee80,AreaEvaluaciónLlamadas
3,8762b11bd6b542b989b426d22a7b8857,AreaDespachoEmergencias
4,0a6d0f09bd0342d1aae01968f2ae8eef,AreaEvaluaciónLlamadas
5,074640cb9c1a43df863b6789fc3369b9,AreaEvaluaciónLlamadas
6,1be98fd6ef2649d7a7444d86c6335ed7,AreaEvaluaciónLlamadas
7,b562c445ca2d41aeb49bc59ba3894d94,AreaDespachoEmergencias
8,ca92c2d6047e4629811461a3f423d71b,AreaEvaluaciónLlamadas
9,4fe0f8f656004cca8964eee89fe55708,AreaEvaluaciónLlamadas
10,86b28776596e444e8465fdbcadbe98cc,AreaDespachoEmergencias
11,43c67cc5f5374ac3af14ed97ef1747c0,AreaEvaluaciónLlamadas
12,9d5137ca4c074a6abb05e18b47275731,AreaEvaluaciónLlamadas
13,22e43f3902c547e4bb1660d3a8b416ee,AreaEvaluaciónLlamadas
14,7f13863cd8394fe1a8b7b7aaf50dee93,AreaEvaluaciónLlamadas
15,e0eebd5aa4a544ab8e2ce82b037b28c4,AreaEvaluaciónLlamadas
16,0cac1637b16b4d249b2ec6535a87f7d4,AreaEvaluaciónLlamadas
17,3d79997044524594b43d9eafb35f46a4,AreaEvaluaciónLlamadas
18,77934e7431004aac8ba59bfb170d33ed,AreaDespachoEmergencias
19,89a3dfa411494f0a8777168183890a6f,AreaDespachoEmergencias
20,a6ccde183162415dab4087433e695f14,AreaDespachoEmergencias
21,5a7ce16127814f34b788e3d9d9b340fa,AreaEvaluaciónLlamadas
22,b3c2a756cb6242acb7767e7d8229ac4e,AreaEvaluaciónLlamadas
23,bf54ff567fc04ef990c4dd7f816291cd,AreaEvaluaciónLlamadas
24,8c7d2b64d899419388faf32eae501824,AreaEvaluaciónLlamadas
25,37350c816d2a4c9a9bb7f6bc82a964c7,AreaEvaluaciónLlamadas
26,e1235a86241d48b89d40814f54d94caf,AreaEvaluaciónLlamadas
27,39391536d37c4f7a8e3d20cb1a8379eb,AreaEvaluaciónLlamadas
28,46d3a6962ff543798aa57873889d87d1,AreaEvaluaciónLlamadas
29,cd39e8261f9543e29fc7cf1a06ac51ba,AreaEvaluaciónLlamadas
30,c099e6b6f1694d029a51b61f8a5e6359,AreaDespachoEmergencias
31,34d2e1633e1847a9b75d14f12d5ac8fb,AreaEvaluaciónLlamadas
32,ccf6b726a1db47a4bd2da45b2b10e24a,AreaEvaluaciónLlamadas
33,c6ed4351c17d48a1949d5060a9d5ba1c,AreaEvaluaciónLlamadas
34,34d7b48f0f344fd8bb5b40b852d30561,AreaEvaluaciónLlamadas
35,91ed4a6f2869456d928345001ec95ab1,AreaEvaluaciónLlamadas
36,95e5bad853a24f7ab693e1498373fe97,AreaEvaluaciónLlamadas
37,f636cbd07f734603bfda500be1781adc,AreaEvaluaciónLlamadas
38,6bfbac1e896c4e8db36edb14a37c2360,AreaEvaluaciónLlamadas
39,a1f9edcd0dbb4270ba539698a300ca5f,AreaEvaluaciónLlamadas
40,0ba9ba78bef14387abfe4186977ec1ad,AreaEvaluaciónLlamadas
41,8c7dc78dcd7544ddafd87bdd24e54d8e,AreaEvaluaciónLlamadas
42,9372e764a9b247c793e75e217b10a2db,AreaDespachoEmergencias
43,b2826ea431f54af4ad23192e9493d5e2,AreaEvaluaciónLlamadas
44,85221414a14541e0815f470e44be23fc,AreaEvaluaciónLlamadas
45,75fb9e7af1034c58ad6a2f2876402da2,AreaEvaluaciónLlamadas
46,6fb342592e3d4768b2d8d687682f5f4f,AreaEvaluaciónLlamadas
47,c094e404587c4d808cc8b73edbf07ea9,AreaEvaluaciónLlamadas
48,3877362d520044c48fa3cbe50cc38182,AreaEvaluaciónLlamadas
49,1ad4a5af108344b6a2f55a498c74afc1,AreaEvaluaciónLlamadas
50,11ad8d53549341a4990711541f9de5d0,AreaEvaluaciónLlamadas
51,0b48976b0f274fa1a177695d743aad13,AreaEvaluaciónLlamadas
52,562adab3529d4abfa720bc5d84082d17,AreaDespachoEmergencias
53,f8e4d97a439b42b9afc955a79fc7b2c2,AreaEvaluaciónLlamadas
54,78427c282c514eb1ba0751702e393ee8,AreaEvaluaciónLlamadas
55,c9fcc084022549df9bc79fc4980f0070,AreaEvaluaciónLlamadas
56,a1ff022ae5b041aa88d0ced627de735d,AreaEvaluaciónLlamadas
57,25d15702d5044db894047685bbabeb9b,AreaEvaluaciónLlamadas
58,78fb61c65294436481386398e7d9eb82,AreaEvaluaciónLlamadas
59,e8e2a10a6c784e6e829aeaccb94ceb7d,AreaDespachoEmergencias
60,ed1a8245bb814bf6bb1bcecda6f853b1,AreaEvaluaciónLlamadas
61,da6437e8e16647318ff9ff7eb9e83749,AreaEvaluaciónLlamadas
62,3bad13aa0c8e42fb93c2089b92671712,AreaEvaluaciónLlamadas
63,e6d6df3a90f04ba39b7ba4c78d73d602,AreaEvaluaciónLlamadas
64,0256aebaca5b4d64931606cde46b732f,AreaEvaluaciónLlamadas
65,55b47c340ef34f38ad6e84c457e7134d,AreaEvaluaciónLlamadas
66,880d14df32bb40288ceea80244e8b658,AreaEvaluaciónLlamadas
67,1d81088c058d48d3acafd04fc1bce25e,AreaEvaluaciónLlamadas
68,3a6f267365b14f01888e4d27f38ac011,AreaEvaluaciónLlamadas
69,ed1536b793a84cebb6a5621fe689367d,AreaEvaluaciónLlamadas
70,dba751b084a94b07896c7dbd1b3ebf11,AreaEvaluaciónLlamadas
71,0f278bf5b7aa48e1ae64913a51747eb0,AreaEvaluaciónLlamadas
72,a516f14c67974e8392d19a3887f3fc91,AreaEvaluaciónLlamadas
73,5cb0ff68ef15478da9464cd9ac28b94e,AreaEvaluaciónLlamadas
74,7682d80f401046a281959d1365a891c1,AreaEvaluaciónLlamadas
75,da85931f522346428b543b75d1c5bd38,AreaEvaluaciónLlamadas
76,bb7bd3d746764068b1858d000385526e,AreaEvaluaciónLlamadas
77,b5103031d51d4b63acb3a1ce6d524396,AreaEvaluaciónLlamadas
78,41442b50557242e5ade5afa9459eeb5f,AreaEvaluaciónLlamadas
79,263c77668a7348d5880baddef17011f8,AreaDespachoEmergencias
80,ef575c5254854fe1bbd7b875f4e0d04c,AreaEvaluaciónLlamadas
81,58c3df868b0042759178f223bc02e9a1,AreaEvaluaciónLlamadas
82,93225a4968aa49408858e4ab120b62b0,AreaEvaluaciónLlamadas
83,b8ec824943364c1f818bd1499bfa546d,AreaEvaluaciónLlamadas
84,249b579565ba4f2093953a22e5e22493,AreaEvaluaciónLlamadas
85,ff81e32a848a448e9b0bb83f7140cd8b,AreaEvaluaciónLlamadas
86,340eaaff036d4e859178fcbafaaa94fd,AreaDespachoEmergencias
87,e7a4ce0b31c4427cbedd340faa528a56,AreaEvaluaciónLlamadas
88,e12363b395ba41c8965c5610975d22f1,AreaEvaluaciónLlamadas
89,a484068daeff49c294c8b3fbcf7788e2,AreaEvaluaciónLlamadas
90,7c72fb6e39694409814e8bd33aab3815,AreaEvaluaciónLlamadas
91,36cf339f939843c3be65c1fd43f4c381,AreaEvaluaciónLlamadas
92,491e494dbd2f4a7c8cfba8f01b3730ce,AreaEvaluaciónLlamadas
