,IDEcu
0,5190ca502b064dd98be262099a17068c
1,5ca069210d99423db2207f92bcc3e6b4
2,86ad04ad382b45b88317f51723341294
3,bbff9c6cac5e4f2c983eb4d9a4df0d76
4,efd86cdd179a4cc180efc429838aa7ba
5,81b972b6dceb47a69162456d5291ab00
6,13cb13a154dc4a3c8eb2b0945b20515e
7,78fad043f8d04e548eeac6b6092c7a10
8,f65af95286ba4999a196db79b92c73a0
9,0f6c11e33ac646b59ed49373b5855d4f
10,b63639240f174df4ad15f175010ec637
11,2b37577460a14b2da9e37e9e23b9c49a
12,4ec230c1b5894f1484821aced99cb265
13,1040db7844454db4b082745684aa3d39
14,79037971ed524ef09c82b490db40221d
15,b90e531bfff84d8a92eec0272d42160c
16,338032ba0a054aee995d049b8776b37e
17,98ead53bf01a4f27b3e1b1e9f3f3d23a
18,7c67f12429344fdfb15cb997d78b0194
19,86026c6e5f61467ba20d6e1a7a01a6f7
20,38d708def41d496fba77aaba90b0220e
21,95bdb57013fc45158d00916783d10d28
22,8e30ae5aa34942aa8f27b317736f3ab3
23,d464f5a13caa4e4da319f8e89bb23952
24,e5751d64e4d349d09aa76ef7cd41fc14
25,2aeece351f4943c8b67b1d70721a4b90
26,3c2137ec81cc4e2b8a544c22fff59eeb
27,edcd2e2b64764fa5bcdb1f137a1344a8
28,dbf604d3daa8418e94c9782620fa7ab2
29,d1915a00d3a54a048cb357b3429e688d
30,63a2b79ded9748268c724b8ba556d027
31,eb771e9bf67f443fb6a822e6605ff415
32,6495cae2c63346b7a975b252c79c9fae
33,4c2a93c3f336462fb7650e199497b463
34,6d0cb71a89244526a85b1ecae8921474
35,ac00ea26303246bda07de206a38ffb8c
36,47a7cd0c05594f22b63fc9ee94d60cac
37,88e750bce69c4ed798e18bb6644905ba
38,72b01d53d4b94f1f9d2d94e2047c1531
39,436295c50400440bbe1bdcd129e79ce4
40,ca586d2180a949c8b006204be6073759
41,6b48b31358f14067a685a7e384a7eef7
42,0a91c5d0885644aca78c9cd6f6b8aabc
43,627156a6c4a141359aaa826588e44c21
44,c30a347357d24983bb40d7ce42295035
45,570dce036ef4446d9c4958898867f095
46,324a65645bcc49c4828e3dec517d872d
47,a35b7099eeab442b856dbc35cd18a8a6
48,6f40c8b90e5f4bf3bfdc8eb52bc4cb89
49,c3e55c11174e40028b4708bfc26aeeba
50,8da1b8bd92dc4f06aba258cb4a406de4
51,2b58a1ac4abf4631a58d0e8eb85bde68
52,926e71e132b5495594df16056217bcc8
53,ffa7ebd8da0442fca9dfe546e7a647f5
54,75eb8b9b36b44fafb0c29bb5bef0ba48
55,c51e34bb4cca4752a374e8076f30a68c
56,7cc665a0d04e4bef8246753c6e98bd5e
57,d32edaf032c747e6910dfbaaf1eb9dd9
58,33013e7b466c40cfa8276b73e0b7d982
59,30b541152ff74aa5996db0c8dfa90617
60,965c6836e2784a45991c39c02fdcb1b4
61,b09bee4ee02b4a8da51103735b9feef7
62,c3345891cd9c4bf8b65fed341bb1e49a
63,43d5adf7e35e46f3b21ada11b73ed1ed
64,d4b5fd00c0ab4d46abaca927f5633c76
65,5beb1b7fadfd429fa42b0f98df627012
66,512a947fafa54b3e940bf33052bc54a1
67,583ccb9e422847e7b3e8f7ed23804fe8
68,ce1336a888f041eeac9bb99ac6259b58
69,1f0a1dc0537a4f74b6232d811aeb0101
70,d8950567cd8449b383763ef69879a1ad
71,d9302b2805234f6eb611bda873b6055b
72,58099d5af13a4e4d96483a1f198d3dab
73,1eaa8df9ca9944c6af28e5b00d1d7cca
74,5590afad72d948f8b3b653199be50f13
75,d41be985ac86435f87686cda7366be4f
76,5b24586286d64a3689965e13e7811e7f
77,f2ca218137d94e2396b83b39291fa6cc
78,95513b8f282a489a80a5ee9e99ea6a47
79,010d5d6f9f204ece8b61b4f1b3e87026
80,962b1cf3fc4c499587e28def612cae1c
81,d58e37fef6074a53b6f4e4b3218c8f62
82,f5e4e8b4f6904b9ba4cf21a89c814676
83,def609a01f524daaa4109a309920d4b1
84,f131dc23b3df4c4ab98e489a26f5b0a9
85,1bbdd9dfe5c64259bbfa70ffef1f4f50
86,da348ad76163415c8978d246b586f777
87,df0932a6fe04485bb565c59b8b36aaa6
88,56a9943dbd2d4653b3748a0f12c8e5ce
89,9b5d28ec05a84c28823bd7288e906c67
90,1fcaf1f7e6c94a8fa6f93a4af5b53b73
91,a4a1f896427a461cb7568d23b17ba254
92,b5f0082662f1469c85197f616a9a60b5
93,f114fd4263624041b12456f87506dc51
94,9596ab926ca5427185c1748714795725
95,714e3a7c026d4d9b881c6c138b8ae842
96,df3864a7ba7242eb9fe5ba09dfe62f38
97,ced9ffba9a134e33a5d65f70efe22c77
98,645ffa671dc044d4abd72368de768f1e
99,f628e747a63e4f9b9276d09c381e3956
100,95e3b294a6844377997278a7d7c2d9e0
101,5da7f8dda6a94ad29bbc2edd45c7cfd2
102,79315b514e0441ebb5a4cde9fcb3c2ce
