,IDCanton,NombreCant,EstadoCant,IDProv
0,0879e3b1500c4729b150f162a93ca92b,Tulcan,Inactivo,37cb333aeab147e0835269525ab82e8f
1,3221afb99c874d6c9816f7af3620f2e1,Cuenca,Activo,83110cbc91874c0c8b0334529e07c7fe
2,a535622fa56e40d7adb3685bf82a5dca,Quito,Activo,f6339e60f0444313bfdc3c0457229d24
3,336e68bb1ecf4ad5ae15a488c20f5902,Rumuñahui,Activo,04a6a250c7a04aca8a37b4f15e39137e
4,5a6fed6cd74f4e07aacade4cdbe6a605,Riobamba,Activo,f91e1e3643ad427d9b75e3793d2eb327
5,36b5472de6ef4b9d89287139ad7185fd,Quito,Inactivo,60bfcaa169d14b66becee70129e47404
6,578abb476bed4a079c8e4e00a69accfb,Quito,Activo,c8e77b999e7e4760acacd30864166d32
7,5d0010bd4a734bcd8e26da1d93d5f139,Cuenca,Inactivo,b988e5779e7440cc8584c8effd8c80e4
8,678a15bbfe3a4bc987ee7174f2d1a41f,Quito,Activo,2438acd7d5fd475ab62e76481e2fe04b
9,30357f8a30d441cb82b2b47240e20b97,Guayaquil,Inactivo,c910ed441a354920bf9eb59ff1278977
10,6779100cc0e34633ad26781fe3d48a6d,Latacunga,Activo,4269e7801ac148c4b3efa34629c6dd26
11,f488976633dc48efaf7ce507cb4d9055,Chone,Activo,f225a28059854589960cf7b298f176b1
12,3de22a6bc3a243dd8dd6dca0738b9755,Loja,Activo,473e480c5e2a40e5884b8eca5c1bcff4
13,74f16c705afb4d38b91afb93bd038908,Quito,Activo,3b2ece26cb574fc79dba771dbb093987
14,5677f08d65084a3f992a3fa7d334235e,Loja,Activo,b1e5a3b9266f4548a5ff99975fa13dd2
15,343c890d427b4fa28f7ce3b88acf0cd7,Riobamba,Inactivo,143b9dc8331f4946bbb2bb4e2aed5d34
16,03b18c3dba9a4301a3eaf18fc4c99fbd,Esmeraldas,Inactivo,474f10898a464ed48631ff5124a20c88
17,0f5aade2371c4faa83dbb567c22e32d7,Quito,Activo,ea32e9deb06e4c01a7a4247adf5f29c3
18,c80caa0915574150ba842ab192f48e2b,Esmeraldas,Activo,8bd53f642b7f47ebafea6f0adf53ecab
19,8f681358e9ff4a1bb76e29887cd2d695,Latacunga,Activo,60999138f05e420d972993cd92856be0
20,ad59f1e7275d4b9a8383fe821593e275,Guayaquil,Activo,da3e0ccfc9684f00aad11d8a03ac62a7
21,2816431eaebf4530b0c95efe2f2faa45,Rumuñahui,Inactivo,b130af3e1bed4e898e3bcd057f0bd2a1
22,4f1cf4b7500b4bb182c5e37acdcd5c0a,Loja,Activo,15c142264a9e40d6bcabf9d13633b771
23,e6547d798c204c269b16c37bcade48cd,Rumuñahui,Activo,6fab32e0590443a89def917190d93276
24,bb41f26f3e524a94bf503ef9ef48c6fb,Chone,Activo,5a8e0953d7d24f9c94a6e1b641e56719
25,ce1278d190df4537b4fa19d2019c8cbb,Quito,Activo,fd86952f86994113a708595bccc462aa
26,e991f6932a0f4e77988cd209672b426c,Riobamba,Inactivo,062e9e1d214142a385f2b0abead025f7
