,IDDepCoor,NombreDepCoor,IDOperCallCenter
0,416ef9e87381418f8a1a2962bc3130cf,AreaEvaluaciónLlamadas,33baba0b5e2442e796eb0fd97feb9f41
1,cf75f33ffe17434fbf894fb3f91e03a6,AreaDespachoEmergencias,3c3e7a41625b430bbc3e4a4834ea5edb
2,528a804ee05646259c3afd3878677227,AreaEvaluaciónLlamadas,b430fa72dc474a30a1af85c95c486331
3,c33578b32376433cb4245ed820ea6f36,AreaEvaluaciónLlamadas,6833ee3f436545ca80f5d1421936f9ff
4,d282bf9ca252492dbf0fde4e3b92e66f,AreaEvaluaciónLlamadas,fb748acc443f4abead2f06f0febf5c08
5,2a1f739b467c428ebc0a1d1ab32e7e3a,AreaEvaluaciónLlamadas,ff2bf1c294154703a0d480dfa5b88803
6,102b1b143b14491aa9ad4b8a3579e78d,AreaEvaluaciónLlamadas,6ce243f9a7a44c9192bf19ac04ba2d77
7,b7e66721cb6042e7b3f77a3711b8a8e4,AreaEvaluaciónLlamadas,eb28b3ca5b8649b3ba7aed1c5997c79a
8,0b407061772a408796a6aab0dbeda89d,AreaEvaluaciónLlamadas,09f96d51ea934c3fa84384757bd91dbb
9,dff82b7e40e24cd19e5d1e0214095d38,AreaEvaluaciónLlamadas,7735c247f1f84c2cbfab9dc833c784c4
10,3c6d6331e7ec4d45ba8ad0dec3a275f7,AreaEvaluaciónLlamadas,f7bb2f7bc28c4bafbe83ef42da186c89
11,6082512c46ec4a7f810ce83ad4c036ef,AreaEvaluaciónLlamadas,4d68872689f84588bddb639b4bef085e
12,fef6105a41a446eb968f2972cb33f72a,AreaEvaluaciónLlamadas,daa2ed3f584c4f3190894a6850ea1509
13,509c95768324408b91d146263d7aa92f,AreaEvaluaciónLlamadas,49cd9186866648d3a7f46d879723590d
14,0e814707f3584056ba305f5e8902bb6b,AreaEvaluaciónLlamadas,92674b37825b4bc3bc1692904b9f291d
15,371d3f7641064b49904eadf3d60092bd,AreaEvaluaciónLlamadas,844d12845c6f4784bb60e7271bef7be3
16,610e8dbf0e274e1a900dc9917fce5cbe,AreaEvaluaciónLlamadas,c3bad0f97f14475683b51eaecb68b444
17,aed5ff9685d240db8f6fe6bafd3cadb9,AreaEvaluaciónLlamadas,66bc5e0b47d64d3180b555cee9fdd983
18,590c663f986f4e9d84f0815f1322d364,AreaEvaluaciónLlamadas,74a5eea3f9164f7ca52744ea23886701
19,b66da9b134b54bacbd3bb79b3b87f03f,AreaEvaluaciónLlamadas,515ba733d49d47c4a86cf49d2a446f52
20,37847cb4ac104f8e8515420b5a31203f,AreaEvaluaciónLlamadas,324e318192cc40e4a2c96c4be9e6e733
21,1822cb98f0d545dd96c0da9537ce13eb,AreaEvaluaciónLlamadas,bad73e610f5a4251a9eca4a3fb800e40
22,f75773d734474c9e84a9c421e67d6627,AreaEvaluaciónLlamadas,4d88c874fe274bbe9e8a36ad28acfe19
23,d18aa9f6ee5e48bda0097fa5f1240361,AreaEvaluaciónLlamadas,43951b58102f40dfb4bb313e1f0ca040
24,3e2d4b6d940244d3be9b0da7d8e8f109,AreaEvaluaciónLlamadas,397655a3a7b0453998ebb6499dcaae0d
25,f8c969ee3e78452ab6a585310f826267,AreaEvaluaciónLlamadas,3d41eb35bb0f484ea99cdcf4d4f09b74
26,cfb4c15a6bbc420c9f42aac428af235b,AreaEvaluaciónLlamadas,8c3bc5966f874c598f7b641d1f60972e
27,604a935c65384672ab761e2b87ab8361,AreaEvaluaciónLlamadas,78fc3d9ee2184ba692c6c9321ac22154
28,eb08c84d74b942d7b15e4d95d84d009c,AreaEvaluaciónLlamadas,8186dd25860d4712911a61468afc6426
29,f593c0022130411f98de17c23187fdae,AreaEvaluaciónLlamadas,4440a68873fe4beeb8b54b144a9d31a8
30,5e8e7ac44bc9402f85ee680a489fc76e,AreaEvaluaciónLlamadas,8ac29417159d446a986a0bd596d0d6a8
31,363ce1a553d142bcb31da35bf5cf252a,AreaEvaluaciónLlamadas,1b8ce69c18ea445e8ebd8510d9c5ab81
32,392bfaadcae44d7d9079e442c462bd17,AreaEvaluaciónLlamadas,4491e570319248eca5c5598c85187684
33,caa142333ae6437c814a0d871ac6d78f,AreaDespachoEmergencias,d030433e84c74da4a1ad63ece5fe4beb
34,edd1c0ecab5246a18c180e0e43978807,AreaEvaluaciónLlamadas,af07ba5ee3f24c0b84999220e81ad480
35,431c78f7cd8d45a3ad4d0d3bdc589446,AreaEvaluaciónLlamadas,a5c6d9d374b44d31a1ad020fcae48145
36,76c6beeda11a42f5816a2b1ba35eb4bb,AreaEvaluaciónLlamadas,1977132c26fb48c388284e4d4d5c122f
37,3913c3a170e5410b993e51308b2a3a1b,AreaEvaluaciónLlamadas,56d954c61e304b90890b078043704362
38,4f4b4233a70243c187fad97688704974,AreaEvaluaciónLlamadas,1adedf84ea18428f921d01885eada552
39,a18327de03034a84938fbb41f52195f0,AreaDespachoEmergencias,114464a434c646a9ab9ff063cc601710
40,61579fdafa4846cd806ded488b4ab6ae,AreaEvaluaciónLlamadas,ce1cd0f2883c44f3920ee793aa940052
41,83e1f32f61e144aebcab87defcd52867,AreaEvaluaciónLlamadas,0e5b8701429642a0b3779a252182c900
42,4a689d703dae4369b888f98b8319e92c,AreaEvaluaciónLlamadas,8227063dec9043aa920d8d763c9f733d
43,698e9c75c6864b57b7389db662faf5bf,AreaEvaluaciónLlamadas,db84ab8d0a6a4ee69884575141eb6b0c
44,3d67dd3d06404758bde234bcfa43979a,AreaEvaluaciónLlamadas,7bc9f6ed419542c4a3098f5ff574006b
45,348b8ed79e8e486b8b328cb4516f73c4,AreaDespachoEmergencias,eabf899f55c74f10ab665c2037557df4
46,7aba9356f08145f195bfa064cfb11b12,AreaEvaluaciónLlamadas,069678a02bba4323b98cb7e54248d190
47,6c5c8bc1c0cc48dc9e29a30398b59dfc,AreaEvaluaciónLlamadas,272bcc73fb0c4eafb777767271881024
48,d153071d4bfc4963bc9aa6c6b1d82f29,AreaEvaluaciónLlamadas,8ed627c0a0ad4873b078c8e5f902b102
49,22a27c7d0d6b402b9a93ef8dc6558e33,AreaEvaluaciónLlamadas,05e55590cdc84c2082ca255bd8768a9f
50,1ce81433cd6f4bad88bd820b924bc6e1,AreaEvaluaciónLlamadas,6884c26da54546e0b815db59076efb1f
51,be843b2b95004368a025da470a6da55d,AreaEvaluaciónLlamadas,0cf1a3384f9d4917a9b9ddec37a59b36
52,320fe1e33a424c5a82d86d6f5ce975ec,AreaDespachoEmergencias,6e0f8be1861240ca850dfc6c03945cb8
53,7ef5dba3efb74b73bccc72de8f485725,AreaEvaluaciónLlamadas,a32aa4dd08cc453ba16613ac1bc91439
54,004d317d4f194459a4c11eea082f0ae9,AreaEvaluaciónLlamadas,8118d867ce474321b625f2197ebe68ba
55,ea5078e71beb42c999764a37152609b3,AreaEvaluaciónLlamadas,53f8c8ad6d2c40d5ab22e72d68491580
