,IDEcu,EstadoEcu
0,cafe7455f054441589eef881c6d7f555,Activo
1,ae3f07a0dda941059282b9757d833513,Activo
2,3e61bb8828704db58469742aa9d9cdcd,Activo
3,71b31d1ba7cb4a859749c4e04583fb9e,Activo
4,118091385b5b4e9b8967ac6c26d34251,Activo
5,c9c977f3618d47139462435398ec9b07,Activo
6,fd6acb67c4e840f48d0cf2193db2c518,Inactivo
7,df1cce5e500f4ba892431f766caa7ddc,Activo
8,26250290235a4aaf947eddecdd3e3dac,Activo
9,96e179ce86014987bcff732f7e1f07df,Activo
10,3003a5f5e6f14cca95ade7585fa64a81,Activo
11,e2e2e9343899484288c88deaf9ad3223,Activo
12,f17a0b088d524c66becede4af1ade5ff,Inactivo
13,7696e2c4460946e09c85abeb08de967c,Activo
14,6555bdb755424f1393fd1b09aba0a3bd,Activo
15,6c4650d70bab46eb967d4b5f505ef1c8,Activo
16,491bf370ea1c48538e6de8e3b6f22b6e,Activo
17,f70c31f6e56945bda4456ad9372980f6,Activo
18,87f88db636724bbb82a616a16c505f24,Activo
19,9cf23e0cbde44b739064ce938a6745a0,Activo
20,afce16e7741c422ba2ccee06f9861fb3,Activo
21,28d001df8fc34c4d8bb57fb06d7b36d8,Activo
22,2744308f8c894d12b419a5d8615e5278,Activo
23,d5ea818ab41f4f149d187ed7dc4613c5,Inactivo
24,9a7b0a66d84749ae967ec87dcfb7be7e,Activo
25,c00bdacf3b7a443dada36c2e2d005910,Activo
26,511ab99f40b843dca8d935ba655d0d6f,Activo
27,e21e14037bbb428d9be119dc64aee126,Activo
28,95be437e692f49c0a1aac273f9203df3,Activo
29,f6876473f9c341d2929dfd1729ff9238,Inactivo
30,72af993961f2476c90385865543811d4,Activo
31,4b1133877edf4dc381124156fa7d555c,Activo
32,105fa4d3554648b888e60e972e120390,Activo
33,012dc46b05724126b4aa5189d07106c2,Activo
34,b26a008d9e764b6a8f73e00a542dde0c,Activo
35,119223262b854d90b61a7b85d0c672bc,Activo
