,IDParroq,NombreParroq,EstadoParroq,IDCanton,IDProv
0,c931560a317642ba9e17ef3f03572c02,Muisne,Activo,3dce1b84d51146c5ba6a4e8a883374a7,00faf4c364464286865b41de1416f07a
1,a1187bd015324fa9890ba64f189393b6,Puerto Ayora,Activo,1325d7739f2548eeb685eefa105f3f29,46d5df85ba404019925bca039f8bc761
2,a6e3f241d06d46aca4e3da975a4776cb,Puerto Ayora,Inactivo,88ac757e8f134ffdbaafc2f00433ace7,c870fe65cdd04abe88f5093682f0dea4
3,75e310e5ff78439cbb3fb097b8e4db42,Latacunga,Inactivo,72b9df7c821448c3a2913ecff5dd18b9,360ab2c0d03a4f6db51038fcc7b2056a
4,564a695c7d19435e914e772057a390f4,Conocoto,Inactivo,e2752bb9026f40b98b1d0664caefc521,0914e99f01da41d7884ffaaaa326a06c
5,68d97ab32024491981e61438820de55d,San Borondon,Activo,8547b7d3cb1b4f238b030fd25c9611b8,56ba318a8fc241f19f40ffcd28791c40
6,7c4cb1778b35496fb606f0b60cb753d3,Muisne,Activo,843c5f9073bd4af29211e81e351189a7,4c4ca3e28ff540abb75cec2bc3dff703
7,0e037893056d46f08f2506d88fec9198,Conocoto,Activo,99f25fd0763e4c049ceeeed54b0292a3,0de93e9dcbb644af84fa0aea91b9008f
8,d168fac0b7d744c3b013108a4d61d292,Guano,Activo,a55115d5ecb5449aa7e754e6a849fa2e,e14ff6812a284994ac55b82547d3e8a7
9,e8ad15b9e61d470cb6cd533a9810acb1,DMQ,Activo,8ad64ae74e314eca86109240bbdf65c1,cc851ea4ea8f4ed79289f8d760f8c0bc
10,503514478adb43a0a22719e813dcc9d9,Latacunga,Activo,6015c8d0ab9949f69bb4b8e195977e7e,7ca1b181b4ff40c88a4396161739d90f
11,bef53be2406142739ba3da851665c0b3,Conocoto,Inactivo,adc5cb0581fd4c388e68994a5b2bcb16,1443df2cc8cc4832b2e64ab2373c28f6
12,9524d5c13c4c4adda2fe08082ffe050e,Sangolqui,Activo,241d7268c39d490291a5db8f1b693bf0,11b6214871a64d5c88b410bf2a4b1aa9
13,d274cdced6764e5691b205bb105bf436,Conocoto,Activo,15b4456a2b3e4fcfb1dbdefb3fcfc88f,1ce18a2aa7564a9bab1a4a357ebc58b8
14,f4a39e72e15c42b297a4e8b97a0b3d5e,Conocoto,Activo,d60871b8cb9549fbb08b87cb98c4f7e3,abd49f71c6fd43118864d41c42abbdc7
15,39652d53a0854611b7726f2209a1d75b,DMQ,Activo,e45112d52b474af99e4d77117d845c40,a1c496709e8a49bf9dce7c7b6c6d81a0
16,5dd665336d954bde85ff0c33c89a4700,DMQ,Inactivo,030bf94f1ed34228b39a206f8c8f3eb6,3c53438d144c46f3a5227bdefe5d2af7
17,aaa08f102f144ae79f5bed3fcc9933b9,Sangolqui,Inactivo,0d92a57b11f0450abba321fd91b3567d,e936c173ba7b4ec6ba38dce2335f5037
18,5d5d298fc87f4375bc53a34bc85e1f74,DMQ,Inactivo,2cfb16681b454f168138336e435a9295,d9ed36eac9644cfd90c185893b67be72
19,c58ba82e0ae7456983a9ee738306889c,San Borondon,Activo,6cc9ba33c83e44b594df9bd6a15ef90a,3a96d49bedcb4e0c8a4735da256c7cef
