,IDProv,NombreProv,EstadoProv
0,790c776629dd44d48ff828574353f56f,Manabi,Activo
1,7d276f9d9e1b40d5b2a0f2df48e41a50,Galapagos,Inactivo
2,5d016fac39354399889ecc977c5defa2,Manabi,Inactivo
3,c0e668c6cd324b80a7ba58ddaf8496f2,Chimborazo,Inactivo
4,6a21b124072c46efb3a9e97ed32ace48,Bolivar,Activo
5,119c12866a8b4850b659f9f437757caf,Manabi,Inactivo
6,54cd12c2954f4c32b888b3d608438bb2,Esmeraldas,Inactivo
7,2919dcd8263e4e3b9f1710a49b1cc129,Cotopaxi,Activo
8,4de4ab34dd2b4457ae38ab6b39eda062,Guayas,Activo
9,c6e50a1cc79e4798906e40b76dc227df,Esmeraldas,Inactivo
10,e9693f874c054550a8d82a78a31740b6,Azuay,Inactivo
11,de9f6b4fbbad4b688c5a284bb902eecb,Pichincha,Inactivo
12,f0ec488fe3ef4c9db8f565d00afd853f,Bolivar,Activo
13,a7f30c141e3e4e088c16acbadb852db8,Pichincha,Activo
14,ff3eb6fcdcf64a6baec0d4d1d0fa66a7,Loja,Activo
15,79fa8ec3f8b149899cd98fdf6a4c3f9d,Bolivar,Activo
16,0c7c9be9b7df47218145f97cb614fc9b,Cañar,Inactivo
17,cbbaad66bde14b78855fc97209545fd0,Manabi,Activo
18,0e012e40619f4f26a399a2dd1ef6f7e5,Esmeraldas,Inactivo
19,fe482f181dd6495fadf424e8b328cfdc,Carchi,Activo
20,09a8a92cbf244a10974575ddad53a6c5,Chimborazo,Activo
21,0ea63c884b2e460f89016ffaf44d9a7c,Chimborazo,Inactivo
22,a9d2728c974f4e30bffc4920627ecd56,Bolivar,Activo
23,923dd2e2c40a496e86884e10fa3929af,Manabi,Inactivo
24,522da7d54b674bae8d8352c23361ca23,Galapagos,Inactivo
25,1f92531e7fe749ea82481233248bc484,Esmeraldas,Activo
26,50873df7d40a421583fceb92ace47ae0,Galapagos,Activo
27,7c39531a0dd34874a342d810020f0dce,Guayas,Inactivo
