,IDOperCallCenter,IDUsu,IDDisp
0,367dd989f4704eb89edc063231c0b15c,99328ff0875b4b5aa4ff756285158b28,b36ef9099f0f4de69220967007ef62e6
1,e9521599ccde46aa94edc2fdc5bcef5e,2a0edcb964b743a28f08f20b1139881d,088dd98c5add418087300f221d5c7051
2,d2266e5464964d3aae94e98672336236,54c8326ba4f04bbfb78517c95af63f19,beca1ef308be43caa1ccaf1e50cc5862
3,01ea28a570a347a1aa4b486320ddaac4,74d8477ab20741cea9677a46601bfd19,393e2f95006242c5b713ae2de30b6faf
4,5a3a54a97c814df28e13eabd84125480,3c117f7edb5b47fd84ca8361db4991c7,d166818b076743a7a53e454fa6507e4d
5,d9f137354a9d40d8abad41b4732300e0,a81a1cf786e94ded8f4c3b374d798b2d,81f15aa7ec5843ada27fdd5cc85180f9
6,b1064e3e608f44a1bec303b8a22e80bc,1b0256e36ef142298765b870408a4f09,e54b96426a564c58a9d2aa062e2485f1
7,00e457b9ab264b2c9a53e1ebdb72361a,9abbbab5867c475589e38e6def650bc7,23f4ea2d3c2448878eede42426cb7604
8,b694e341a4974331a14fdca22823b982,2680b9e3f5174495845b326d8b71dba1,35ace41c93a24e36a01c0b6fe0468768
9,d029f82e230e47c596bf6d568aa7a841,466fbeb9910b44c6bd67f56bdaa0b1d7,b9dd4d07662e459bb270fcc1dabef8e0
10,4ca5c5ddb265472e97134fa142bd41a1,d4c3f8b778d74cd2882801dda4941609,bd362778769a4e109adea8450a9ad298
11,db18174ab8844433873fbff57a1507c2,1c0abf987ff247dea9a51d95de05f54a,7189ef3834654ae4b77355dd1be71214
12,8b48c099adf44755a5b0709fad88677b,e8a4d7a8ebf141f8a3a81b73e2a0f961,d377bac2ab2d4e48a77d89d3c7a84518
13,d69dbf154adf4645a960d9a1247ca053,5c85b801304a4145853ef5c9c7036e77,9df821a7cdfd4f6f85aa4c04fb22864e
14,3482e8158f694dc188c5a76e4eeceeda,88c13c7a6ef7434f9ae93859769def8e,f21a6f63f75d41d7b225169310cec6f1
15,da188b01e37b473faa23079a544f52e5,8ae99ab5c8f64efab3d41be47229a4c5,773c6ac334b24ce1a513c84d55923eb3
16,02a1683fde034733b24570fadc303e8b,aaf0f5f44bb14375940c3755d6e26b06,4a2945050fc04f8aa7f4690b79281ddd
17,9b42000d0a7c4748bcbf2028eecac30e,a170db66b4734025a877407e51dc236c,0b3bcb941e5d497bbf7ebcc217de0c0b
18,67b06b7d3fc048c2893ffc386916a51e,0a4301d70e2b4e40a8f16a6ec17ca5d1,1f3abfba2d6a472a9de6bd2ae2238c90
19,c35383a599b749909db81f36fdf4a918,eea68cf616af43f186c9dc31ffd7e3ab,10a37d62ddac42b68c3a98b0901933a7
20,9e7141af204546a7a9764055cd61189e,9651b3fb0ca54f2cba00f3f2a7326182,6e381a311023487eaa2e444d633c723c
21,01277a91aa7749f5af3e1401363855ba,36b0886bc3f74eb6a22a09a2e1cf6532,b0ee0d8265f7472c91c2d4c7da1ca9cc
22,983fd0f3c9e14eb4b9ebc1d554343b96,ff1cd7cf8da843fa91b84f4de5262b63,3fe6541417de49b18bcd7dbb7242f4d7
23,bf8246a29f9e4b048eb698e2ab74f9b8,8b67e0dfee1940c08b4e336d51fa273b,83e013cfedc74a0d95bcb9be407c59fe
24,1e6533c4b58742cc8836e717383e849e,c0dc4654a0cf48b39363bf1be2ebe5c3,51b73bf948c54a0e9b005bcefb26ea23
25,2a02edfc26cf4be89a3827023a4a7a39,4c13ef931117422cb16a113a57021e9a,56cb53c679954920a9264f03ef77b434
26,4287c01f577d430e9d397330af12b15f,157929202cf9415487d416520bb43087,ee1dc0708c044976bbd3ddc2a30f8a39
27,0efcc47a87e1475e85feab495fc7c97c,6e57b3784d6944b5b3f48a8de835e206,59f3576329b54e4eb13a3b524ebb2a8b
28,0cb0d09d08a346158fa381014d8cc09e,49f2209e1f57495685f595bfb6eb0661,516819f27b1247c8b079dd722e74df05
29,05c42f0f88d548dfabc7375ba30a4770,ca0da000d25c40e6b536b5a49ed20156,8c8c409471b3449185235746fb29e9a0
30,eb685c324c9049e19076d08289558a8f,fdaaca8f6c284b2ea59b46b2557c89c9,8acde246d64f49eb892d356c99a5941d
31,cf94d71247b248fe87645fae4c944539,72f349a0a5074b2eab12e6bb71d4f219,ca5705c4b7354b358a758315db2cee01
32,86be3998f6a04935921d33488191556e,f434f3311b3945a2b4c26f18bc0099ed,f9cea79ada58424d876c8626f68d9fe6
33,4cbb7bd319bc43dba4ea2c67d616e913,c79a27fe971b4ad6b26771d111f5b98a,565b464d8ce64b46971bfb42f15ab8ae
34,3d411182ebdf43ac91f136ba87359f92,805e7b940cb1414ab747fb606e72e9ad,9a358e09219b4817a8bd77aab8f88a76
35,d7ce892c007d44a7b67a2b6e67471666,392a022cf50e4b8cb859b374fe5fd12a,ecc4f78c414f47408b0561e3e116a017
36,486c2a1dbfb842ca99ece6909c4702be,292e6475fec04e6b8a0b24b59ba43c19,10f21a3155854859b85f0305dcd0322f
37,f0b049478e964a6ebbefaee3360e57b0,df170a92fbc54323b5a89f513c88151f,265f6236f2f9442c9c692c2478ba0879
38,2dec7502cbf3496f919ff85a0e67968b,b1251418581e4170ba25ff941527dbee,1023a2bd23694b25959e37a5d8870371
39,b9437c9c96b447d0adc094805fef2a98,2153c7547bf04ebcbe1d66c4bfa750c4,b4cd01274f234771be90c49a855eae36
40,d74f544fc802434bb849c0b528dd7a38,5d75b07c53e74813995671dc59e90b82,88511d87db7f4394ac2c67fb56e60a87
41,8d9edaec70184798ae928727c17a3786,ad4192467a9045adb750123d4e05833f,680e31f14b6f455ab8b71f874e705b63
42,2101e792d9b843b79714bf4897a16148,a375f0ec86f84d9faadbb168a0676369,d386f5db67364a90aa51e77c3793fc29
43,5cb69ee4cb8d4ce38477a28ac85917c3,8bb85d232240489ba203a65b73843fa4,c386630d3f12496690af67f4dcc055ef
44,f2df69727f7c48ceab07d2dd55beedb5,9fbbed2c0ee443529699751b443d1e77,5ddef0dcdf814d218874045dafa29c3e
45,af7b0421e0694407be365112659c892e,ca49845a993747c6947d6db82c695fe1,6ac278b137c24500967dd6f47b958c8b
46,28cadbdebd1c41d3b190657c4bc35ebb,f04cd42f556247518a88664321ec1c49,e4e873954db0498ea023a002b6192c32
47,5f9a788f2ff54c5c8cb234e99454a7ad,46b6198104354360a781e482d5ac500b,05dfd07ef2ee4ac78535a9459c19aad6
48,5ab61de4f49e440f95fec6d838aa27c3,2cf8cdb702cb4cb59f2cc15d3624a9b3,cc1ac1b7b9c146c7be01dc4f2acb7008
49,36b56e111f7b443fa6154794308ce511,f5fe54c9020b4570bfc69230300a31be,168bd619fd9f437e9986c537b57f1e28
50,e786aca26fdf45e9bf611b4eca64200e,f1874901affd4dd483d870a8cf26f699,bc3e01d783d94f938b1b5ffea4dc0103
51,264cde02b30940848abcbc48ea763ac2,b7ef25e86b3a4a33a67b20a88d4dd10b,4d56b004a5b14c0189ca83ac9e7e225d
